Joueur,Provenance,Destination,Année,Prix en millions d'Euro
Neymar,FC Barcelone,Paris Saint-Germain,2017,222.0
Kylian Mbappé,AS Monaco,Paris Saint-Germain,2018,180.0
Philippe Coutinho,Liverpool FC,FC Barcelone,2018,135.0
Moisés Caicedo,Brighton & Hove Albion,Chelsea FC,2023,133.0
Enzo Fernández,Benfica Lisbonne,Chelsea FC,2023,121.0
João Félix,Benfica Lisbonne,Atlético de Madrid,2019,120.0
Antoine Griezmann,Atlético de Madrid,FC Barcelone,2019,120.0
Jack Grealish,Aston Villa,Manchester City,2021,117.0
Declan Rice,West Ham United,Arsenal FC,2023,116.0
Romelu Lukaku,Inter Milan,Chelsea FC,2021,115.0
Paul Pogba,Juventus,Manchester United,2016,105.0
Ousmane Dembélé,Borussia Dortmund,FC Barcelone,2017,105.0
Jude Bellingham,Borussia Dortmund,Real Madrid,2023,103.0
Harry Kane,Tottenham Hotspur,Bayern Munich,2023,100.0
Cristiano Ronaldo,Real Madrid,Juventus,2018,100.0
Eden Hazard,Chelsea FC,Real Madrid,2019,100.0
Gareth Bale,Tottenham Hotspur,Real Madrid,2013,99.7
Antony,Ajax Amsterdam,Manchester United,2022,95.0
Cristiano Ronaldo,Manchester United,Real Madrid,2009,94.0
Gonzalo Higuaín,SSC Naples,Juventus,2016,90.0
Joško Gvardiol,RB Leipzig,Manchester City,2023,90.0
Randal Kolo Muani,Eintracht Francfort,Paris Saint-Germain,2023,90.0
Harry Maguire,Leicester City,Manchester United,2019,87.0
Neymar,Santos FC,FC Barcelone,2013,86.2
Matthijs de Ligt,Ajax Amsterdam,Juventus,2019,85.5
Romelu Lukaku,Everton FC,Manchester United,2017,85.0
Jadon Sancho,Borussia Dortmund,Manchester United,2021,85.0
Virgil van Dijk,Southampton FC,Liverpool FC,2018,84.0
Romelu Lukaku,Manchester United,Inter Milan,2019,83.0
Luis Suárez,Liverpool FC,FC Barcelone,2014,82.5
Victor Osimhen,LOSC Lille,SSC Naples,2020,81.3
Wesley Fofana,Leicester City,Chelsea FC,2022,80.4
Kepa Arrizabalaga,Athletic Bilbao,Chelsea FC,2018,80.0
Lucas Hernandez,Atlético de Madrid,Bayern Munich,2019,80.0
Nicolas Pépé,LOSC Lille,Arsenal FC,2019,80.0
Kai Havertz,Bayer Leverkusen,Chelsea FC,2020,80.0
Aurélien Tchouaméni,AS Monaco,Real Madrid,2022,80.0
Neymar,Paris Saint-Germain,Al-Hilal FC,2023,80.0
James Rodríguez,AS Monaco,Real Madrid,2014,78.0
Zinédine Zidane,Juventus,Real Madrid,2001,75.0
Ángel Di María,Real Madrid,Manchester United,2014,75.0
Frenkie de Jong,Ajax Amsterdam,FC Barcelone,2019,75.0
Erling Haaland,Borussia Dortmund,Manchester City,2022,75.0
Darwin Núñez,Benfica Lisbonne,Liverpool FC,2022,75.0
Rasmus Højlund,Atalanta Bergame,Manchester United,2023,75.0
Kevin De Bruyne,VfL Wolfsbourg,Manchester City,2015,74.0
Arthur,FC Barcelone,Juventus,2020,72.0
Rúben Dias,Benfica Lisbonne,Manchester City,2020,71.6
Alexander Isak,Real Sociedad,Newcastle United,2022,71.0
Oscar,Chelsea FC,Shangaï SIPG,2016,70.0
Rodri,Atlético de Madrid,Manchester City,2019,70.0
